期刊名称,类型,别名,简称,ISSN,中科院分区,中科院版本,CCF级别,CCF版本,CCF中文期刊标签,CCF中文期刊版本,影响因子,影响因子年份,影响因子来源,学校等级,学校名称,学校版本,中科院学科标签,中科院升级版标签,JCR分区标签,新锐分区标签,新锐版本,检索标签,北大中文核心标签,南大中文核心标签,CSSCI扩展版标签,中国科技核心标签,CSCD核心库标签,CSCD扩展库标签,中国科协高质量期刊标签,SJR标签,期刊类型标签,预警标签,其他标签,来源链接
ACM Transactions on Computer Systems,期刊,ACM Transactions on Computer Systems,TOCS,07342071,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T1（2025总汇）,,,,,
ACM Transactions on Storage,期刊,ACM Transactions on Storage,TOS,15533077,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T1（2025总汇）,,,,,
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,期刊,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,TCAD,02780070,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
IEEE Transactions on Computers,期刊,IEEE Transactions on Computers,TC,0018-9340|00189340,,,A,第七版（2026年）,,,,,,A,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T1（2025总汇）,,,,,
IEEE Transactions on Parallel and Distributed Systems,期刊,IEEE Transactions on Parallel and Distributed Systems,TPDS,1045-9219|10459219,,,A,第七版（2026年）,,,,,,A,云南财经大学,2026,,,,,,,,,,,,,自动化 A（2025总汇）|电子及信息技术 T1（2025总汇）,,,,,
ACM Transactions on Architecture and Code Optimization,期刊,ACM Transactions on Architecture and Code Optimization,TACO,15443566,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
ACM Transactions on Autonomous and Adaptive Systems,期刊,,TAAS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM Transactions on Design Automation of Electronic Systems,期刊,ACM Transactions on Design Automation of Electronic Systems,TODAES,10844309,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
ACM Transactions on Embedded Computing Systems,期刊,ACM Transactions on Embedded Computing Systems,TECS,15399087,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
ACM Transactions on Reconfigurable Technology and Systems,期刊,ACM Transactions on Reconfigurable Technology and Systems,TRETS,19367406,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,期刊,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,TVLSI,10638210,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
Journal of Parallel and Distributed Computing,期刊,Journal of Parallel and Distributed Computing,JPDC,0743-7315|07437315,,,B,第七版（2026年）,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
Journal of Systems Architecture: Embedded Software Design,期刊,,JSA,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Parallel Computing,期刊,Parallel Computing,,0167-8191|01678191,,,B,第七版（2026年）,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
Performance Evaluation: An International Journal,期刊,,,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE Transactions on Cloud Computing,期刊,IEEE Transactions on Cloud Computing,,2168-7161|21687161,,,B,第七版（2026年）,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
ACM Journal on Emerging Technologies in Computing Systems,期刊,ACM Journal on Emerging Technologies in Computing Systems,JETC,15504832,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
Concurrency and Computation: Practice and Experience,期刊,Concurrency and Computation: Practice and Experience,,15320626,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
Distributed Computing,期刊,Distributed Computing,DC,01782770,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
Future Generation Computer Systems,期刊,Future Generation Computer Systems-The International Journal of Escience|Future Generation Computer Systems,FGCS,0167-739X|0167739X,,,C,第七版（2026年）,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
"Integration, the VLSI Journal",期刊,,Integration,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Journal of Electronic Testing-Theory and Applications,期刊,,JETTA,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Journal of Grid computing,期刊,Journal of Grid Computing,JGC,15707873,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
Real-Time Systems,期刊,Real-Time Systems,RTS,09226443,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）,,,,,
The Journal of Supercomputing,期刊,The Journal of Supercomputing,TJSC,09208542,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
IEEE Transactions on Circuits and Systems I: Regular Papers,期刊,IEEE TRANSACTIONS ON CIRCUITS|IEEE Transactions on Circuits and Systems II: Express Briefs|IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS|IEEE Transactions on Circuits and Systems I: Regular Papers|IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,TCASI,15497747|15498328,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,自动化 A（2025总汇）|能源电力 T2（2025总汇）|电气工程 T2（2025总汇）|电子及信息技术 T1（2025总汇）|电子及信息技术 T2（2025总汇）|声学 T2（2025总汇）|声学 T3（2025总汇）,,,,,
CCF Transactions on High Performance Computing,期刊,CCF Transactions on High Performance Computing,CCF- THPC,25244922,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,2025-2026,,,,,,,
IEEE Transactions on Sustainable Computing,期刊,,TSUSC,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,会议,,PPoPP,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
USENIX Conference on File and Storage Technologies,会议,,FAST,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Design Automation Conference,会议,,DAC,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Symposium on High Performance Computer Architecture,会议,,HPCA,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE/ACM International Symposium on Microarchitecture,会议,,MICRO,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
"International Conference for High Performance Computing, Networking, Storage, and Analysis",会议,,SC,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Architectural Support for Programming Languages and Operating Systems,会议,,ASPLOS,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Symposium on Computer Architecture,会议,,ISCA,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM SIGOPS Annual Technical Conference,会议,,ACM SIGOPS ATC （原 USENIX ATC）,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
European Conference on Computer Systems,会议,,EuroSys,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
The International ACM Symposium on High-Performance Parallel and Distributed Computing,会议,,HPDC,,,,A,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM Symposium on Cloud Computing,会议,,SoCC,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM Symposium on Parallelism in Algorithms and Architectures,会议,,SPAA,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM Symposium on Principles of Distributed Computing,会议,,PODC,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,会议,,FPGA,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
The International Symposium on Code Generation and Optimization,会议,,CGO,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
"Design, Automation & Test in Europe",会议,,DATE,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Hot Chips: A Symposium on High Performance Chips,会议,,HOT CHIPS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Conference on Cluster Computing,会议,,CLUSTER,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Computer Design,会议,,ICCD,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Computer-Aided Design,会议,,ICCAD,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Conference on Distributed Computing Systems,会议,,ICDCS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Hardware/Software Co-design and System Synthesis,会议,,CODES+ ISSS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on High Performance and Embedded Architectures and Compilers,会议,,HiPEAC,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Measurement and Modeling of Computer Systems,会议,,SIG- METRICS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Parallel Architectures and Compilation Techniques,会议,,PACT,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Parallel Processing,会议,,ICPP,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Supercomputing,会议,,ICS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Virtual Execution Environments,会议,,VEE,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Parallel & Distributed Processing Symposium,会议,,IPDPS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",会议,,Performance,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Test Conference,会议,,ITC,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Large Installation System Administration Conference,会议,,LISA,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Mass Storage Systems and Technologies,会议,,MSST,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE Real-Time and Embedded Technology and Applications Symposium,会议,,RTAS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
European Conference on Parallel and Distributed Computing Springer,会议,,Euro-Par,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Symposium on Circuits and Systems,会议,,ISCAS,,,,B,第七版（2026年）,,,,,,C,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM International Conference on Computing Frontiers,会议,,CF,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM International Systems and Storage Conference,会议,,SYSTOR,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
ACM/IEEE International Symposium on Networks-on-Chip,会议,,NOCS,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",会议,,ASAP,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Asia and South Pacific Design Automation Conference,会议,,ASP-DAC,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE European Test Symposium,会议,,ETS,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
International Conference on Field-Programmable Logic and Applications,会议,,FPL,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE Symposium on Field-Programmable Custom Computing Machines,会议,,FCCM,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Great Lakes Symposium on VLSI,会议,,GLSVLSI,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE Asian Test Symposium,会议,,ATS,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
IEEE International Conference on High Performance Computing and Communications,会议,,HPCC,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
"IEEE International Conference on High Performance Computing, Data and Analytics",会议,,HiPC,,,,C,第七版（2026年）,,,,,,D,云南财经大学,2026,,,,,,,,,,,,,,,,,,
