期刊名称,类型,别名,CN号,语种,CCF中文期刊标签,CCF中文期刊版本,来源
大数据挖掘与分析（英文）,期刊,Big Data Mining and Analytics,10-1514/G2,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
电子学报（英文）,期刊,Chinese Journal of Electronics,10-1284/TN,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
网络空间安全科学与技术（英文）,期刊,Cybersecurity,10-1537/TN,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机科学前沿（英文版）,期刊,Frontiers of Computer Science,10-1014/TP,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
信息与电子工程前沿（英文）,期刊,Frontiers of Information Technology & Electronic Engineering,33-1389/TP,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
自动化学报（英文版）,期刊,Journal of Automatica Sinica,10-1193/TP,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机科学技术学报（英文）,期刊,Journal of Computer Science and Technology,11-2296/TP,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中国科学：信息科学（英文版）,期刊,SCIENTIA SINICA Informationis,11-5847/TP,英文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
电子与信息学报,期刊,,11-4494/TN,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
电子学报,期刊,,11-2087/TN,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
科学通报,期刊,,11-1784/N,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机辅助设计与图形学学报,期刊,,11-2925/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机学报,期刊,,11-1826/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机研究与发展,期刊,,11-1777/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
软件学报,期刊,,11-2560/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
通信学报,期刊,,11-2102/TN,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
自动化学报,期刊,,11-2109/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中国科学：信息科学,期刊,,11-5846/TP,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中文信息学报,期刊,,11-2325/N,中文,T1,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中国通信（英文）,期刊,China Communications,11-5439/TN,英文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算数学(英文),期刊,Journal of Computational Mathematics,11-2126/O1,英文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
虚拟现实与智能硬件（英文）,期刊,Virtual Reality & Intelligent Hardware,10-1561/TP,英文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中兴通讯技术（英文）,期刊,ZTE Communications,34-1294/TN,英文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
大数据,期刊,,10-1321/G2,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机教育,期刊,,11-5006/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机科学,期刊,,50-1075/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机科学与探索,期刊,,11-5602/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机工程,期刊,,31-1289/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机工程与科学,期刊,,43-1258/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机工程与应用,期刊,,11-2127/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机系统应用,期刊,,11-2854/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
计算机应用,期刊,,51-1307/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
密码学报,期刊,,10-1195/TN,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
模式识别与人工智能,期刊,,34-1089/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
物联网学报,期刊,,10-1491/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
网络与信息安全学报,期刊,,10-1366/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
小型微型计算机系统,期刊,,21-1106/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
系统仿真学报,期刊,,11-3092/V,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
信息安全学报,期刊,,10-1380/TN,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
智能系统学报,期刊,,23-1538/TP,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
中国图象图形学报,期刊,,11-3758/TB,中文,T2,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
光电子快报（英文）,期刊,Optoelectronics Letters,12-1370/TN,英文,T3,2025,中国计算机学会（CCF）计算领域高质量科技期刊分级目录（2025）
