期刊名称,类型,别名,ISSN,中国科协高质量期刊标签,FMS学科,FMS主办单位,FMS JCR排名
管理世界,期刊,,1002-5502,管理科学 T1（2025总汇）,中文期刊,国务院发展研究中心,
经济研究,期刊,,0577-9154,管理科学 T1（2025总汇）,中文期刊,中国社会科学院经济研究所,
管理科学学报,期刊,,1007-9807,管理科学 T1（2025总汇）,中文期刊,天津大学、国家自然科学基金委员会管理科学部,
中国社会科学,期刊,,1002-4921,管理科学 T1（2025总汇）,中文期刊,中国社会科学杂志社,
南开管理评论,期刊,,1008-3448,管理科学 T1（2025总汇）,中文期刊,南开大学商学院,
系统工程理论与实践,期刊,,1000-6788,管理科学 T1（2025总汇）,中文期刊,中国系统工程学会,
中国工业经济,期刊,,1006-480X,管理科学 T1（2025总汇）,中文期刊,中国社会科学院工业经济研究所,
金融研究,期刊,,1002-7246,管理科学 T1（2025总汇）,中文期刊,中国金融学会,
中国管理科学,期刊,,1003-207X,管理科学 T1（2025总汇）,中文期刊,中国优选法统筹法与经济数学研究会、中国科学院科技战略咨询研究院,
会计研究,期刊,,1003-2886,管理科学 T1（2025总汇）,中文期刊,中国会计学会,
经济学（季刊）,期刊,,2095-1086,管理科学 T1（2025总汇）,中文期刊,北京大学出版社,
世界经济,期刊,,1002-9621,管理科学 T1（2025总汇）,中文期刊,中国世界经济学会、中国社会科学院世界经济与政治研究所,
管理工程学报,期刊,,1004-6062,管理科学 T1（2025总汇）,中文期刊,浙江大学,
公共管理学报,期刊,,1672-6162,管理科学 T1（2025总汇）,中文期刊,哈尔滨工业大学经济与管理学院,
中国软科学,期刊,,1005-0566,管理科学 T1（2025总汇）,中文期刊,中国软科学研究会,
管理科学,期刊,,1672-0334,管理科学 T1（2025总汇）,中文期刊,哈尔滨工业大学经济与管理学院,
数量经济技术经济研究,期刊,,1000-3894,管理科学 T1（2025总汇）,中文期刊,中国社科院数量经济与技术经济研究所,
心理学报,期刊,,0439-755X,管理科学 T1（2025总汇）,中文期刊,中国心理学会、中国科学院心理研究所,
科研管理,期刊,,1000-2995,管理科学 T1（2025总汇）,中文期刊,中国科学院科技战略咨询研究院、中国科学学与科技政策研究会,
管理评论,期刊,,1003-1952,管理科学 T1（2025总汇）,中文期刊,中国科学院大学,
科学学研究,期刊,,1003-2053,管理科学 T1（2025总汇）,中文期刊,中国科学学与科技政策研究会、中国科学院科技战略咨询研究院、清华大学科学技术与社会研究中心,
情报学报,期刊,,1000-0135,管理科学 T1（2025总汇）,中文期刊,中国科学技术情报学会、中国科学技术信息研究所,
统计研究,期刊,,1002-4565,管理科学 T1（2025总汇）,中文期刊,中国统计学会、国家统计局统计科学研究所,
中国农村经济,期刊,,1002-8870,管理科学 T1（2025总汇）,中文期刊,中国社会科学院农村发展研究所,
中国图书馆学报,期刊,,1001-8867,管理科学 T1（2025总汇）,中文期刊,国家图书馆、中国图书馆学会,
工程管理科技前沿,期刊,,2097-0145,管理科学 T1（2025总汇）,中文期刊,合肥工业大学,
管理学报,期刊,,1672-884X,管理科学 T1（2025总汇）,中文期刊,华中科技大学,
计量经济学报,期刊,,2096-9732,管理科学 T1（2025总汇）,中文期刊,中国科学院数学与系统科学研究院,
系统工程学报,期刊,,1000-5781,管理科学 T2（2025总汇）,中文期刊,中国系统工程学会,
中国行政管理,期刊,,1006-0863,管理科学 T2（2025总汇）,中文期刊,中国行政管理学会,
审计研究,期刊,,1002-4239,管理科学 T2（2025总汇）,中文期刊,中国审计学会,
财贸经济,期刊,,1002-8102,管理科学 T2（2025总汇）,中文期刊,中国社会科学院财经战略研究院,
系统管理学报,期刊,,1005-2542,管理科学 T2（2025总汇）,中文期刊,上海交通大学,
经济学动态,期刊,,1002-8390,管理科学 T2（2025总汇）,中文期刊,中国社会科学院经济研究所,
运筹与管理,期刊,,1007-3221,管理科学 T2（2025总汇）,中文期刊,中国运筹学会,
农业经济问题,期刊,,1000-6389,管理科学 T2（2025总汇）,中文期刊,中国农业经济学会、中国农业科学院农业经济与发展研究所,
科学学与科学技术管理,期刊,,1002-0241,管理科学 T2（2025总汇）,中文期刊,中国科学学与科技政策研究会、天津市科学学研究所,
经济科学,期刊,,1002-5839,管理科学 T2（2025总汇）,中文期刊,北京大学,
财经研究,期刊,,1001-9952,管理科学 T2（2025总汇）,中文期刊,上海财经大学,
经济管理,期刊,,1002-5766,管理科学 T2（2025总汇）,中文期刊,中国社会科学院工业经济研究所,
中国人口·资源与环境,期刊,,1002-2104,管理科学 T2（2025总汇）,中文期刊,中国可持续发展研究会、山东省可持续发展研究中心、中国21世纪议程管理中心、山东师范大学,
南开经济研究,期刊,,1001-4691,管理科学 T2（2025总汇）,中文期刊,南开大学经济学院,
研究与发展管理,期刊,,1004-8308,管理科学 T2（2025总汇）,中文期刊,复旦大学,
国际金融研究,期刊,,1006-1029,管理科学 T2（2025总汇）,中文期刊,中国银行股份有限公司、中国国际金融学会,
经济理论与经济管理,期刊,,1000-596X,管理科学 T2（2025总汇）,中文期刊,中国人民大学,
国际贸易问题,期刊,,1002-4670,管理科学 T2（2025总汇）,中文期刊,对外经济贸易大学,
